player_name,Season,was_home,assists_(per_90),attempted_passes_(per_90),big_chances_created_(per_90),big_chances_missed_(per_90),completed_passes_(per_90),dribbles_(per_90),goals_scored_(per_90),key_passes_(per_90),offside_(per_90),tackled/lost_possession_(per_90),target_missed_(per_90),winning_goals_(per_90),tackles_(per_90),red_cards_(per_90),yellow_cards_(per_90)
Aleksandar Mitrovic (18/19),18/19,1,0.054054054,28.27027027,0.108108108,0.486486486,20.27027027,0.648648649,0.162162162,0.540540541,0.864864865,3.459459459,1.297297297,0.054054054,0.108108108,0,0.216216216
Aleksandar Mitrovic (18/19),18/19,0,0.167182663,28.08668731,0.222910217,0.390092879,20.28482972,0.613003096,0.445820433,1.226006192,1.003095975,2.674922601,1.839009288,0.222910217,0.278637771,0,0.167182663
Alexandre Lacazette (18/19),18/19,1,0.492251595,26.74567001,0.164083865,0.164083865,19.77210574,1.476754786,0.32816773,1.148587056,0.984503191,2.543299909,1.066545123,0.246125798,0.32816773,0,0
Alexandre Lacazette (18/19),18/19,0,0.385714286,28.47857143,0.257142857,0.578571429,28.41428571,1.735714286,0.578571429,1.092857143,0.771428571,3.342857143,1.221428571,0.385714286,0.45,0,0.128571429
Ashley Barnes (18/19),18/19,1,0.083798883,18.93854749,0.251396648,0.418994413,11.31284916,0.251396648,0.502793296,0.670391061,0.921787709,2.17877095,0.586592179,0.083798883,0.335195531,0,0.335195531
Ashley Barnes (18/19),18/19,0,0.13803681,20.08435583,0.207055215,0.483128834,11.87116564,0.207055215,0.414110429,0.966257669,0.759202454,1.380368098,0.966257669,0.069018405,0.483128834,0,0.27607362
Ayoze Perez (18/19),18/19,1,0.064516129,23.29032258,0.193548387,0.193548387,17.61290323,1.612903226,0.193548387,1.35483871,0.258064516,3.096774194,0.322580645,0.064516129,0.322580645,0,0.064516129
Ayoze Perez (18/19),18/19,0,0.059171598,24.79289941,0.118343195,0.177514793,19.05325444,1.183431953,0.532544379,1.479289941,0.295857988,3.550295858,0.710059172,0.177514793,0.355029586,0,0.059171598
Callum Wilson (18/19),18/19,1,0.447761194,15.14925373,0.298507463,0.597014925,10.2238806,0.447761194,0.671641791,0.820895522,0.52238806,2.537313433,0.597014925,0.149253731,0.149253731,0,0
Callum Wilson (18/19),18/19,0,0.408472012,16.27080182,0.612708018,0.816944024,11.096823,0.748865356,0.340393343,1.361573374,0.885022693,2.314674735,1.089258699,0.068078669,0.340393343,0,0.204236006
Chris Wood (18/19),18/19,1,0.142970612,20.23034154,0.214455917,0.214455917,13.43923749,0.214455917,0.428911835,0.85782367,1.930103257,2.001588562,0.643367752,0.071485306,0.142970612,0,0.142970612
Chris Wood (18/19),18/19,0,0.068130204,21.52914459,0.204390613,0.340651022,13.55791067,0.340651022,0.272520818,0.61317184,1.70325511,1.635124905,1.226343679,0.136260409,0.340651022,0,0
Dominic Calvert-Lewin (18/19),18/19,1,0.120320856,22.37967914,0.120320856,0.601604278,13.59625668,0.721925134,0.360962567,0.842245989,0.360962567,3.128342246,1.92513369,0,0.481283422,0,0.240641711
Dominic Calvert-Lewin (18/19),18/19,0,0.352595495,21.4201763,0.088148874,0.088148874,13.57492654,1.234084231,0.264446621,0.352595495,0.264446621,2.820763957,0.96963761,0.088148874,0.264446621,0,0.088148874
Glenn Murray (18/19),18/19,1,0,21.04,0.08,0.32,12,0.16,0.4,0.48,1.28,2,0.56,0,0.24,0,0.08
Glenn Murray (18/19),18/19,0,0.065406977,22.04215116,0.065406977,0.130813953,12.9505814,0.327034884,0.523255814,0.39244186,1.438953488,1.569767442,1.111918605,0.130813953,0.19622093,0,0.261627907
